CMDLINE /usr/bin/python3 test_model.py
MEM 1.171875 1664197429.5747
MEM 25.332031 1664197429.6751
MEM 47.269531 1664197429.7754
MEM 62.324219 1664197429.8757
MEM 81.429688 1664197429.9760
MEM 95.558594 1664197430.0764
MEM 107.332031 1664197430.1766
MEM 121.085938 1664197430.2769
MEM 132.980469 1664197430.3772
MEM 132.980469 1664197430.4775
MEM 138.515625 1664197430.5778
MEM 149.496094 1664197430.6782
MEM 149.730469 1664197430.7786
MEM 149.730469 1664197430.8790
MEM 149.730469 1664197430.9794
MEM 149.730469 1664197431.0797
MEM 149.730469 1664197431.1801
MEM 149.730469 1664197431.2805
MEM 149.730469 1664197431.3810
MEM 149.730469 1664197431.4816
MEM 149.730469 1664197431.5824
MEM 149.730469 1664197431.6830
MEM 149.730469 1664197431.7835
MEM 149.730469 1664197431.8839
MEM 149.730469 1664197431.9844
MEM 149.730469 1664197432.0849
MEM 149.730469 1664197432.1854
MEM 149.730469 1664197432.2858
MEM 149.730469 1664197432.3863
MEM 149.730469 1664197432.4869
MEM 149.730469 1664197432.5875
MEM 149.730469 1664197432.6880
MEM 150.230469 1664197432.7886
MEM 147.234375 1664197432.8890
