CMDLINE /usr/bin/python3 test_model.py
MEM 0.765625 1664197652.1091
MEM 25.667969 1664197652.2095
MEM 46.582031 1664197652.3098
MEM 61.453125 1664197652.4101
MEM 80.320312 1664197652.5105
MEM 95.089844 1664197652.6108
MEM 105.953125 1664197652.7112
MEM 118.093750 1664197652.8115
MEM 126.574219 1664197652.9118
MEM 128.917969 1664197653.0121
MEM 130.003906 1664197653.1124
MEM 131.265625 1664197653.2126
MEM 131.523438 1664197653.3129
MEM 132.105469 1664197653.4132
MEM 132.105469 1664197653.5135
MEM 135.164062 1664197653.6138
MEM 137.945312 1664197653.7142
MEM 138.164062 1664197653.8144
MEM 139.535156 1664197653.9147
MEM 140.789062 1664197654.0151
MEM 141.070312 1664197654.1154
MEM 142.179688 1664197654.2157
MEM 143.835938 1664197654.3161
MEM 145.796875 1664197654.4164
MEM 155.230469 1664197654.5168
MEM 157.148438 1664197654.6171
MEM 157.386719 1664197654.7176
MEM 160.375000 1664197654.8179
MEM 160.375000 1664197654.9186
MEM 160.375000 1664197655.0190
MEM 160.375000 1664197655.1194
MEM 160.660156 1664197655.2199
MEM 160.660156 1664197655.3202
MEM 160.660156 1664197655.4208
MEM 160.660156 1664197655.5213
MEM 160.660156 1664197655.6220
MEM 160.660156 1664197655.7226
MEM 160.660156 1664197655.8231
MEM 160.695312 1664197655.9237
MEM 0.000000 1664197656.0243
